id,title,category,date,kit,scale
post-0886,McDonnell Douglas A-4M Skyhawk,aircraft,2024-08-15,Italeri,1/72
post-0887,Vought Corsair modified,aircraft,2024-08-15,,1/72
post-0888,Boeing X 32 JSF,aircraft,2024-08-15,Italeri,1/72
post-0889,Grumman A6 E TRAM Intruder,aircraft,2024-08-15,Revell,
post-0890,McDonnell F18C,aircraft,2024-08-15,Italeri,
post-0891,IAI Kfir C-7,aircraft,2024-08-15,Italeri,1/72
post-0892,Goodyear F2G,aircraft,2024-08-15,Special Hobby,1/72
post-0893,Aichi M6A1- Kanzan,aircraft,2024-08-15,MPM,1/72
post-0894,Mitsibishi A7M Reppu 'Sam',aircraft,2024-08-15,MPM,1/72
post-0895,Yokosuka D4Y2 Mk12'Betty',aircraft,2024-08-15,LS,1/72
post-0896,Mitsubishi J2M3 'Jack',aircraft,2024-08-15,Hasegawa,1/72
post-0897,Nakajima Saiun C6N1,aircraft,2024-08-15,Fujimi,1:/2
post-0898,Nakajim Type 12 Tenzan 'Myrt',aircraft,2024-08-15,Fujimi,1/72
post-0899,Kawanishi N1K2-J Shiden-kai (George),aircraft,2024-08-15,Hasegawa,1/72
post-0900,Yokosuka D4Y2 Judy,aircraft,2024-08-15,LS,1/72
post-0901,Kawasaki Ki64 Rob,aircraft,2024-08-15,MPM,1/72
post-0902,Kawasaki Ki61,aircraft,2024-08-15,Revell,1/72
post-0903,Mitsubishi Ki-109 gun carrier,aircraft,2024-08-15,LS,1/72
post-0904,Gotha Go229,aircraft,2024-08-15,Airmodel vacform,1/72
post-0905,Gothe Go229,aircraft,2024-08-15,Revell,1/72
post-0906,Gotha Go 229 (horten IX),aircraft,2024-08-15,Pioneer 2,1/72
post-0907,Skoda D1,military,2024-08-15,KOPRO,1/72
post-0908,IAR 80 A,aircraft,2024-08-15,Amodel,1/72
post-0909,Shorts Tucano T.Mk.1,aircraft,2024-08-15,Premiere,1/72
post-0910,MiG 19 S,aircraft,2024-08-15,Kopro,1/72
post-0911,Aeo C3A (Siebel),aircraft,2024-08-15,KP,1/72
post-0912,Lavochin LAGG 3,aircraft,2024-08-15,Toko,1/72
post-0913,Mig 9,aircraft,2024-08-15,MPM,1/72
post-0914,Arado Ar240 A 02,aircraft,2024-08-15,Revell,1/72
post-0915,Kyushu Q1W1 Lorna,aircraft,2024-08-15,Pawla,1/72
post-0916,Saab J-21,aircraft,2024-08-15,Heller,1/72
post-0917,Arado Ar440,aircraft,2024-08-15,Revell (conversion),1/72
post-0918,General Dynamics F 16 C/D,aircraft,2024-08-15,Italeri,1/72
post-0919,Curtiss XP-55 Ascender,aircraft,2024-08-15,MPM,1/72
post-0920,Martin AM 1 Mauler,aircraft,2024-08-15,MPM,1/72
post-0921,Ryan XF2R-1 Darkshark,aircraft,2024-08-15,MPM,1/72
post-0922,Grumman F7F Tigercat,aircraft,2024-08-15,Revell (conversion),1/72
post-0923,Republic XP-47 H Thunderbolt,aircraft,2024-08-15,MPM,1/72
post-0924,Mcdonnell F2H-2 Banshee,aircraft,2024-08-15,Airfix,1/72
post-0925,BAC Strikemaster Mk84,aircraft,2024-08-15,Airfix,1/72
post-0926,Grumman F7F-3P Tigercat,aircraft,2024-08-15,Revell,1/72
post-0927,McDonnell FH-1 Phantom,aircraft,2024-08-15,MPM,1/72
post-0928,Consolidated Vultee Vegeance MkII,aircraft,2024-08-15,Revell,1/72
post-0929,Grumman F9F-5 Cougar,aircraft,2024-08-15,Matchbox (conversion),1/72
post-0930,Grumman F9F-5 Panther,aircraft,2024-08-15,Matchbox,1/72
post-0931,Fairey Gannett AS Mk 1,aircraft,2024-08-15,Revell,1/72
post-0932,Douglas F3D-2 Skyknight,aircraft,2024-08-15,Matchbox,1/72
post-0933,Grumman F8F Bearcat,aircraft,2024-08-15,Italeri,1/72
post-0934,Curtiss P40N Warhawk,aircraft,2024-08-14,Matchbox,1/72
post-0935,TBD,aircraft,2024-08-14,TBD,1/72
post-0936,Chevrolet Corvette 1985,car,2024-08-14,Monogram,1/8
post-0937,Blackburn Skua,aircraft,2024-08-14,Revell,1/72
post-0938,North American F100 C Super Sabre,aircraft,2024-08-14,PM Models,1/72
post-0939,Grumman TBF-1 Avenger,aircraft,2024-08-14,Academy,1/72
post-0940,Boeing P-26a Peashooter,aircraft,2024-08-14,Revell,1/72
post-0941,Grumman XF5F-1 Skyrocket,aircraft,2024-08-14,VK Models resin kit,1/72
post-0942,Cessna A37 A Dragonfly,aircraft,2024-08-14,Revell,1/48
post-0943,Cessna O2,aircraft,2024-08-14,Eidai,1/72
post-0944,Albatross D III,aircraft,2024-08-14,Revell,
post-0945,Fokker Dr1,aircraft,2024-08-14,Roden,
post-0946,Fokker Dr1 Werner Voss,aircraft,2024-08-14,Roden,
post-0947,Arado Ar234 C and E381 parasite fighter,aircraft,2024-08-14,Revell,1/72
post-0948,Arado Ar234 C with V1 bomb,aircraft,2024-08-14,,1/72
post-0949,Pontiac Firebird Trans Am model year 1985,car,2024-08-14,MPC,1/16
post-0950,Lippisch DM1,aircraft,2024-08-14,Airmodel,1/72
post-0951,Focke Wilf Triebflügel,aircraft,2024-08-14,Airmodel,
post-0952,Dornier Do335 B,aircraft,2024-08-14,Frog,
post-0953,Junkers EF128,aircraft,2024-08-14,balsa sctratchbuilt,1/72
post-0954,Supermarine Spiteful,aircraft,2024-08-14,conversion from Frog Spitfire MkXIV,1/72
post-0955,Blohm&Voss P-194,aircraft,2024-08-14,Revell,
post-0956,Messerschmitt Me163C,aircraft,2024-08-14,Airmodel,
post-0957,Blohm&Voss P211.02,aircraft,2024-08-14,Airmodel,1/72
post-0958,Focke Wulf Ta183,aircraft,2024-08-14,Airmodel vacform,1/72
post-0959,Henschel Hs132,aircraft,2024-08-14,Airmodel vacform,
post-0960,Messerschmitt Me262 B1a,aircraft,2024-08-14,Airfix,1/72
post-0961,Manned V2 project,military,2024-08-14,Special Hobby,1/72
post-0962,Messerscmitt Me110G night fighter,aircraft,2024-08-14,Airfix,1/72
post-0963,Focke Wulf 'Flitzer',aircraft,2024-08-14,,
post-0964,Heinkel He280 1/72 Huma,aircraft,2024-08-13,,
post-0965,Messerschmitt Me263 (aka Junkers Ju248) 1/72 Airmodel vacform,aircraft,2024-08-13,,
post-0966,Scratch built balsa model of a fictitious Luft46 jet fighter (dreamt),aircraft,2024-08-13,scratchbuilt,1/72
